mes,suscriptores,altas,bajas,tasa_apertura_pct,tasa_clic_pct,respuestas,nota
2024-07,3400,95,60,22,4.0,4,Ritmo normal: editorial + dos resenas + taquilla
2024-08,3416,88,72,21,3.6,3,Sin cambios en la estructura
2024-09,3411,80,85,19,3.2,3,Primer mes con mas bajas que altas
2024-10,3561,240,90,27,7.1,25,Especial de terror: esa edicion sola hizo 38% de apertura y 22 respuestas
2024-11,3536,85,110,18,2.9,2,Se volvio a la estructura de siempre. El pico no se sostuvo
2024-12,3480,70,126,17,2.6,2,Fiestas
2025-01,3702,330,108,20,3.4,3,Sorteo de entradas: pico historico de altas
2025-02,3545,75,232,15,2.2,1,Bajas record: se fue casi todo el que entro por el sorteo
2025-03,3452,68,161,14,2.0,1,Cambio de dia de envio: jueves a martes
2025-04,3340,60,172,14,2.0,0,Vuelta a los jueves. Sin efecto
2025-05,3190,55,205,12,1.2,1,Version corta: la mitad de largo. Sin efecto
2025-06,3100,48,138,11,1.1,1,Ultima edicion enviada antes de que se fuera el editor
